id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
p108_karaita_n,108,karaita,noun,"abandoned house site, place where house formerly existed. Kaba tuga",_kara:y-ta ; _kara:y; kara:y-wa ; kara:y-wek,,,CLEAN,,,,,,,,,,
p108_ke_gar_vt,108,ke-gar,verb_transitive,"to patch, mend, repair worn things",_ke:-ka:r,Korei ingoriet kobot Jesilut.,Jesilut's mother is mending the dress.,CLEAN,,,,,,,,,,
p108_ki_gar_v,108,ki-gar,verb,"to cut, nick",_ki:-kar,Kegaran kwariat mogombet.,The hoe nicked (my) tendon.,RECONSTRUCTED,,,,,,,,,,
p109_karamiet_n,109,karamiet,noun,"wasp, hornet",_ka:ra:m-yet ; _ka:ra:m; _ka:ra:m ; _ka:ra:mik,,Ng'inng'in suwet ko u ne bo karamiet. (Her) waist is as thin as a wasp's.,CLEAN,,,,,,,,,,
p109_kararan_a,109,kararan,adjective,"beautiful, delightful, nice",_kara:ran ; kara:ran(- e:n,Kararan nebo kwong'ut.,It is amazingly beautiful.,HAS-GHOSTS,,,,,,,,,,
p109_karasta_n,109,karasta,noun,rib,_kara:s-ta ; _kara:s; kara:s-ay ; kara:s-a-i:k ; kara:s-wa ; kara:s-wek,,Kigosagit ipkotok korosoik. (S/he) has lost weight until the ribs are showing.,CLEAN,,,,,,,,,,
p109_karatiat_n,109,karatiat,noun,"carrot, ke-garbus v",_karat-ya:t ; _karat-ya:; _karat ; _karat-(y)e:k,,to collapse. ki-garbus v.cans.,GLOSS-LEAK,,,,,,,,,,
p109_karimanet_n,109,karimanet,noun,"fine young person, ki-garir v",_kari:man-e:t ; _kari:man; _kari:man ; _kari:manik,,,GLOSS-LEAK,,,,,,,,,,
p109_karit_n,109,karit,noun,"car, vehicle",_kar-i:t ; _kari; _kar-i:s-ya ; _kar-i:s-yek,,Expressions: karit ab mat train (lit. car offire),HAS-GHOSTS,,,,,,,,,,
p109_karnet_n,109,karnet,noun,"1. iron, metal",_kam-e:t ; _kam-a; _karin ; _kar-i:k,,Kono karnana! Give me that pipe!,CLEAN,,,,,,,,,,
p109_karoi_a,109,karoi,adjective,without horns,_ka:rô:y ; ka:rô:-e:n,,,CLEAN,,,,,,,,,,
p109_ki_gartat_vt,109,ki-gartat,verb_transitive,to hang up. kigartat eng ire to hang on a peg,_ki:-karta:t,,ke-gas V.,HAS-GHOSTS,,,,,,,,,,
p110_kasese_n,110,kasese,noun,"[cf. keses-to craziness] a crazy, eccentric person",_kase:se:,,,CLEAN,,,,,,,,,,
